fullvisitorid,channelgrouping,time,country,city,totaltransactionrevenue,transactions,timeonsite,pageviews,sessionqualitydim,date,visitid,type,productquantity,productprice,productsku,v2productname,v2productcategory,productvariant,currencycode,transactionrevenue,transactionid,pagetitle,searchkeyword,pagepathlevel1,ecommerceaction_type,ecommerceaction_step,ecommerceaction_option
9.18E+17,Organic Search,389148,Turkey,not available in demo dataset,NULL,NULL,389148,5,1,2017-07-29,1501338367,PAGE,NULL,19,GGOEGAAX0325,YouTube Men's Short Sleeve Hero Tee Charcoal,Home/Shop by Brand/YouTube/,(not set),USD,NULL,NULL,YouTube | Shop by Brand | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
1.96E+18,Display,43176,United States,not available in demo dataset,NULL,NULL,43176,5,NULL,2017-06-05,1496667379,PAGE,NULL,25,GGOEAHPA004110,Android Wool Heather Cap Heather/Black,Home/Apparel/Headgear/,(not set),USD,NULL,NULL,Headgear | Apparel | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
9.37E+18,Organic Search,226753,United States,New York,NULL,NULL,226753,7,NULL,2017-05-13,1494733585,PAGE,NULL,15,GGOEGBPB021199,Google Slim Utility Travel Bag,Home/Bags/More Bags/,(not set),USD,NULL,NULL,More Bags | Bags | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
7.16E+18,Organic Search,76166,United States,Palo Alto,NULL,NULL,76166,6,NULL,2017-05-16,1494960780,PAGE,NULL,20,GGOEGAAX0330,YouTube Men's Skater Tee Charcoal,Home/Apparel/Men's/Men's-T-Shirts/,(not set),USD,NULL,NULL,Men's T-Shirts | Apparel | Google Merchandise Store,NULL,/store.html,0,1,NULL
8.01E+18,Organic Search,0,Germany,Munich,NULL,NULL,0,1,NULL,2017-05-04,1493962800,PAGE,NULL,11,GGOEYHPB072210,YouTube Twill Cap,Home/Apparel/Headgear/,(not set),USD,NULL,NULL,Headgear | Apparel | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
8.61E+18,Organic Search,0,United States,not available in demo dataset,NULL,NULL,0,1,NULL,2017-05-09,1494389326,PAGE,NULL,250,GGOEGGCX056399,Gift Card - $250.00,Home/Gift Cards/,(not set),USD,NULL,NULL,Gift Cards | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
4.04E+18,Organic Search,59764,Canada,Toronto,NULL,NULL,59764,7,1,2017-07-24,1500947842,PAGE,NULL,38,GGOEGEHQ072599,Google 4400mAh Power Bank,Home/Electronics/,(not set),USD,NULL,NULL,Electronics | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
1.05E+18,Organic Search,0,Canada,not available in demo dataset,NULL,NULL,0,1,1,2017-07-13,1499994562,PAGE,NULL,5,GGOEYDHJ056099,22 oz YouTube Bottle Infuser,Home/Shop by Brand/YouTube/,(not set),USD,NULL,NULL,YouTube | Shop by Brand | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
4.60E+18,Organic Search,43829,United States,not available in demo dataset,NULL,NULL,43829,6,1,2017-07-22,1500727480,PAGE,NULL,2,GGOEGFKA022299,Keyboard DOT Sticker,Home/Accessories/Stickers/,(not set),USD,NULL,NULL,Stickers | Accessories | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
1.30E+18,Organic Search,0,Canada,not available in demo dataset,NULL,NULL,0,1,1,2017-07-26,1501133369,PAGE,NULL,21,GGOEGAAX0356,YouTube Men's Vintage Tank,Home/Shop by Brand/YouTube/,(not set),USD,NULL,NULL,YouTube | Shop by Brand | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
8.17E+18,Organic Search,333424,United States,not available in demo dataset,NULL,NULL,333424,6,2,2017-07-07,1499414252,PAGE,NULL,100,GGOEGBRB013899,Google Laptop Backpack,Home/Bags/Backpacks/,(not set),USD,NULL,NULL,Backpacks | Bags | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
7.42E+18,Organic Search,0,United Kingdom,London,NULL,NULL,0,1,NULL,2017-05-17,1495044382,PAGE,NULL,11,GGOEYHPB072210,YouTube Twill Cap,Home/Shop by Brand/YouTube/,(not set),USD,NULL,NULL,YouTube | Shop by Brand | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
5.32E+18,Organic Search,9658,United States,Santa Clara,NULL,NULL,9658,3,NULL,2017-06-02,1496448865,PAGE,NULL,12,GGOEGKWQ060910,Google Bib White,Home/Apparel/,(not set),USD,NULL,NULL,Apparel | Google Merchandise Store,NULL,/google+redesign/,0,1,NULL
